server_name,ip_address,os,cpu_cores,ram_size,storage_capacity,network_bandwidth,data_center_location,rack_number,rack_position,power_consumption,uptime,backup_status,security_level,maintenance_schedule
server0001,237.49.248.71,macOS,25,599.14,7805.16,801.07,New York,13,22,4994.26,82.98,TRUE,low,6/25/2023
server0002,111.11.155.10,Windows,27,311.47,1346.59,725.15,London,11,31,352.91,82.9,TRUE,low,2/1/2023
server0003,129.124.175.96,Linux,12,243.73,7824.92,988.5,New York,19,28,7133.08,13.46,TRUE,medium,8/12/2023
server0004,141.114.8.98,Linux,28,525.12,9598.95,239.64,Tokyo,98,20,4610.61,44.95,FALSE,medium,2/6/2023
server0005,155.226.41.54,Linux,46,739,4882.26,926.25,Tokyo,81,4,8753.38,48.11,TRUE,high,11/6/2023
server0006,60.210.220.177,Linux,64,373.48,3034.67,882.12,Tokyo,96,29,7957.04,18.62,FALSE,low,8/3/2023
server0007,155.227.82.89,macOS,21,764.37,4758.28,852.67,Tokyo,37,29,1906.74,56.49,FALSE,high,8/23/2023
server0008,88.102.187.191,macOS,14,847.43,9495.8,923.55,London,60,18,8080.41,66.79,TRUE,medium,12/13/2023
server0009,3.208.4.194,Windows,30,437.11,5542.13,544.67,New York,89,39,7088.49,26.37,FALSE,low,8/14/2023
server0010,42.19.249.120,macOS,24,268.17,9830.81,370.19,New York,12,13,4858.5,52.03,TRUE,low,9/18/2023
server0011,115.135.34.61,macOS,32,126.69,8784.78,193.59,Tokyo,50,23,2097.18,8.17,FALSE,low,6/2/2023
server0012,136.10.58.10,macOS,32,994.49,1261.58,731,London,98,42,6054.12,49.11,TRUE,medium,3/18/2023
server0013,232.86.253.221,Linux,35,777.46,4013.94,950.69,London,82,31,6120.81,79.24,FALSE,low,4/19/2023
server0014,253.72.121.18,Linux,47,79.62,1542.82,733.1,Tokyo,50,11,7055.02,38.41,TRUE,low,9/16/2023
server0015,168.249.216.88,Windows,17,690.02,2827.06,954.34,London,35,26,5642,2.8,TRUE,high,5/10/2023
server0016,92.201.34.221,macOS,61,331.22,458.65,137.45,New York,79,40,6971.84,84,FALSE,high,4/27/2023
server0017,96.144.179.215,macOS,23,155.9,5748.94,643.22,Tokyo,11,9,2915.04,81.03,TRUE,medium,6/12/2023
server0018,234.200.10.212,Windows,46,209.41,9984.67,422.55,New York,3,14,7955.61,89.87,TRUE,medium,12/22/2023
server0019,61.88.116.36,Linux,23,263.62,7807.77,560.56,New York,77,2,1738.94,54.1,FALSE,high,5/26/2023
